date,course,tees,rating,slope,par,duration,transport,score,fairways_hit,fairways,greens_in_reg,putts,nine_hole_round
12/11/2016,Tecolote Canyon Golf Course,Blue,58.6,101,58,3:01,Cart,69,3,4,4,33,FALSE
10/14/2016,Balboa Park (18),White,34.1,118,36,2:18,Cart,46,3,7,3,20,TRUE
10/8/2016,Temecula Creek Inn (Creek),Blue,35.7,127,36,1:27,Cart,47,4,7,2,19,TRUE
8/19/2016,Crossings at Carlsbad,White,34.7,123,36,2:34,Cart,52,2,7,0,20,TRUE
8/4/2016,Balboa Park (9),Back,30.1,94,32,1:38,Walk,34,0,5,7,17,TRUE
7/17/2016,Balboa Park (9),Back,30.1,94,32,1:41,Walk,33,2,5,5,16,TRUE
7/12/2016,Balboa Park (9),Back,30.1,94,32,1:21,Walk,34,0,5,4,14,TRUE
7/12/2016,Balboa Park (9),Back,30.1,94,32,1:25,Walk,36,1,5,4,16,TRUE
5/22/2016,Oaks North (East/South),White,56.4,89,60,3:26,Walk,74,1,6,3,34,FALSE
5/22/2016,Oaks North (North/East),White,28,86,30,2:01,Walk,37,1,3,3,18,TRUE
5/20/2016,Balboa Park (9),Back,30.1,94,32,2:05,Walk,37,0,5,3,16,TRUE
4/26/2016,Balboa Park (9),Back,30.1,94,32,2:05,Walk,36,3,5,3,14,TRUE
3/26/2016,Riverwalk (Presidio/Mission),White,35.4,124,36,2:22,Cart,50,3,7,1,18,TRUE
3/25/2016,Balboa Park (18),White,68.9,124,36,2:57,Cart,48,1,7,2,23,TRUE
10/9/2015,Balboa Park (9),Back,30.1,94,32,1:44,Walk,39,2,5,2,14,TRUE
9/25/2015,Balboa Park (9),Back,30.1,94,32,1:20,Walk,38,1,5,3,18,TRUE
8/30/2015,Riverwalk (Friars/Presidio),White,34.7,123,36,1:32,Cart,44,4,7,2,17,TRUE
8/15/2015,Balboa Park (9),Back,30.1,94,32,1:51,Walk,34,2,5,4,15,TRUE
8/14/2015,Balboa Park (9),Back,30.1,94,32,1:49,Walk,35,1,5,4,14,TRUE
8/4/2015,Balboa Park (9),Back,30.1,94,32,1:32,Walk,42,2,5,0,15,TRUE
7/31/2015,Balboa Park (9),Back,30.1,94,32,1:40,Walk,38,2,5,1,16,TRUE
7/6/2015,Balboa Park (9),Back,30.1,94,32,1:34,Walk,39,3,5,2,16,TRUE
5/15/2015,Balboa Park (9),Back,30.1,94,32,1:29,Walk,39,0,5,3,16,TRUE
5/10/2015,Balboa Park (9),Back,30.1,94,32,1:10,Walk,37,2,5,4,17,TRUE
5/10/2015,Balboa Park (9),Back,30.1,94,32,1:25,Walk,39,2,5,3,19,TRUE
4/24/2015,Balboa Park (18),White,68.9,124,36,1:38,Cart,45,3,7,2,14,TRUE
2/8/2015,Balboa Park (9),Back,30.1,94,32,1:49,Walk,44,2,5,0,19,TRUE
2/1/2015,Balboa Park (9),Back,30.1,94,32,2:14,Walk,41,1,5,2,15,TRUE
11/9/2014,Balboa Park (9),Back,30.1,94,32,1:41,Walk,38,3,5,1,16,TRUE
10/22/2014,Balboa Park (9),Back,30.1,94,32,1:24,Walk,42,2,5,1,17,TRUE
9/27/2014,Ramblewood CC (Red/White),White,35.2,124,36,2:15,Cart,47,3,7,1,15,TRUE
9/20/2014,Portland GC,White,68.7,123,35,2:20,Cart,53,2,7,0,19,TRUE
9/14/2014,Ramblewood CC (Red/White),White,35.2,124,36,2:28,Cart,51,4,7,0,15,TRUE
9/13/2014,Marine Park GC,White,35.6,125,35,2:54,Cart,54,2,7,0,18,TRUE
8/27/2014,Pine Meadows GC,White,33.5,105,35,2:23,Cart,51,3,6,0,18,TRUE
8/15/2014,Sand Barrens Golf Club (South/North),,34.9,125,36,,Cart,45,7,7,2,18,TRUE
5/31/2014,Ramblewood CC (Blue/Red),White,69.8,126,72,3:59,Cart,88,12,14,5,31,FALSE
5/26/2014,Ramblewood CC (Blue/Red),White,34.6,127,36,1:04,Cart,48,5,7,2,20,TRUE
5/23/2014,Ramblewood CC (White/Blue),White,35.2,121,36,1:48,Cart,44,4,7,4,18,TRUE
5/17/2014,Indian Spring CC,White,34.9,118,35,2:53,Cart,44,5,7,2,18,TRUE
6/10/2018,Riverwalk Golf Club (Mission/Friars),Blue,35.3,123,36,2:11,Cart,47,4,7,2,19,TRUE
3/30/2018,Balboa Park (9),Back,30.1,94,32,1:31,Walk,35,2,5,5,16,TRUE
2/22/2018,Mission Bay Golf Resort,Back,54.1,67.6,58,2:30,Walk,73,2,4,8,41,FALSE
2/11/2018,Balboa Park (9),Back,30.1,94,32,1:33,Walk,35,1,5,5,16,TRUE
2/4/2016,Balboa Park (9),Back,30.1,94,32,1:52,Walk,39,2,5,2,17,TRUE
5/22/2015,Riverwalk (Presidio/Mission),White,35.4,124,36,1:35,Cart,49,1,7,2,21,TRUE
11/18/2015,Mission Bay Golf Resort,Back,27,67.6,29,1:07,Walk,34,1,2,6,21,TRUE
11/13/2015,Balboa Park (9),Back,30.1,94,32,,Walk,39,1,5,3,19,TRUE
11/7/2015,Balboa Park (9),Back,30.1,94,32,2:04,Walk,36,0,5,2,14,TRUE
10/18/2015,Balboa Park (9),Back,30.1,94,32,1:06,Walk,35,2,5,5,17,TRUE
10/18/2015,Balboa Park (9),Back,30.1,94,32,1:10,Walk,40,2,5,4,18,TRUE
10/9/2015,Balboa Park (9),Back,30.1,94,32,1:39,Walk,39,1,5,2,14,TRUE
